iter	Passed	Remaining
0	151	151036
1	166	83239
2	185	61643
3	202	50463
4	213	42563
5	227	37767
6	244	34739
7	257	31908
8	268	29607
9	282	27953
10	291	26169
11	306	25232
12	326	24762
13	340	23948
14	354	23252
15	368	22651
16	382	22118
17	395	21578
18	410	21214
19	425	20870
20	439	20492
21	453	20168
22	466	19822
23	480	19535
24	492	19216
25	507	19023
26	522	18816
27	540	18780
28	553	18523
29	570	18441
30	585	18290
31	605	18315
32	621	18213
33	635	18048
34	655	18075
35	667	17872
36	683	17786
37	698	17671
38	711	17525
39	728	17478
40	740	17320
41	758	17294
42	768	17103
43	781	16972
44	793	16850
45	808	16776
46	824	16718
47	841	16689
48	855	16605
49	862	16396
50	879	16364
51	891	16258
52	906	16204
53	917	16068
54	931	15999
55	945	15942
56	960	15882
57	973	15811
58	990	15791
59	1003	15728
60	1016	15648
61	1025	15522
62	1047	15573
63	1064	15572
64	1077	15504
65	1098	15542
66	1115	15538
67	1136	15570
68	1151	15530
69	1169	15540
70	1183	15486
71	1196	15423
72	1216	15443
73	1228	15372
74	1247	15386
75	1263	15361
76	1281	15366
77	1296	15330
78	1312	15299
79	1326	15255
80	1337	15171
81	1355	15170
82	1369	15134
83	1387	15131
84	1402	15092
85	1420	15099
86	1438	15098
87	1453	15067
88	1467	15022
89	1478	14945
90	1494	14928
91	1509	14898
92	1522	14846
93	1535	14800
94	1549	14760
95	1564	14734
96	1587	14781
97	1601	14742
98	1623	14773
99	1640	14765
100	1653	14718
101	1662	14634
102	1680	14635
103	1694	14599
104	1718	14650
105	1738	14663
106	1749	14604
107	1763	14562
108	1775	14510
109	1791	14498
110	1807	14475
111	1821	14442
112	1834	14398
113	1849	14370
114	1864	14345
115	1882	14342
116	1891	14278
117	1908	14262
118	1919	14214
119	1933	14177
120	1947	14146
121	1958	14096
122	1971	14059
123	1981	13996
124	1997	13985
125	2009	13938
126	2022	13900
127	2033	13852
128	2043	13795
129	2059	13784
130	2073	13754
131	2088	13733
132	2107	13736
133	2119	13697
134	2140	13713
135	2156	13698
136	2169	13665
137	2185	13652
138	2200	13628
139	2216	13617
140	2233	13604
141	2249	13590
142	2257	13530
143	2268	13482
144	2283	13463
145	2295	13428
146	2310	13405
147	2322	13367
148	2334	13333
149	2353	13335
150	2373	13345
151	2393	13350
152	2409	13339
153	2431	13357
154	2443	13321
155	2457	13294
156	2473	13279
157	2489	13265
158	2507	13264
159	2519	13229
160	2537	13224
161	2555	13218
162	2571	13204
163	2589	13201
164	2601	13167
165	2615	13141
166	2631	13123
167	2644	13098
168	2654	13051
169	2672	13050
170	2690	13045
171	2705	13022
172	2722	13012
173	2737	12995
174	2750	12966
175	2764	12942
176	2776	12909
177	2790	12887
178	2805	12869
179	2820	12849
180	2838	12844
181	2852	12819
182	2869	12812
183	2887	12806
184	2903	12791
185	2924	12797
186	2941	12788
187	2956	12769
188	2975	12768
189	2992	12759
190	3004	12726
191	3020	12712
192	3030	12669
193	3041	12636
194	3055	12613
195	3068	12586
196	3080	12557
197	3100	12559
198	3119	12555
199	3137	12548
200	3153	12536
201	3170	12523
202	3188	12518
203	3200	12489
204	3215	12469
205	3233	12462
206	3247	12440
207	3265	12434
208	3278	12406
209	3290	12378
210	3305	12361
211	3326	12365
212	3342	12351
213	3356	12326
214	3374	12321
215	3391	12308
216	3409	12300
217	3429	12301
218	3448	12298
219	3459	12267
220	3473	12244
221	3489	12229
222	3507	12222
223	3520	12194
224	3536	12182
225	3550	12160
226	3564	12137
227	3578	12116
228	3588	12082
229	3602	12061
230	3614	12031
231	3627	12007
232	3639	11979
233	3659	11978
234	3684	11993
235	3697	11970
236	3712	11952
237	3734	11956
238	3757	11962
239	3781	11973
240	3808	11994
241	3842	12034
242	3848	11988
243	3854	11943
244244	4035	124245245	4047	124246246	4063	123247247	4080	123248248	4094	123249	3933	11801
250250	4120	122251	3966	11774
252	3988	11776
253	4004	11761
254	4015	11730
255	4028	11708
256	4046	11698
257	4064	11690
258258	4252	121259	4101	11673
260	4117	11657
261	4130	11633
262	4146	11619
263	4160	11599
264	4175	11580
265	4188	11557
266	4206	11547
267	4223	11536
268	4244	11532
269	4263	11527
270	4282	11519
271	4299	11508
272	4316	11495
273	4332	11479
274	4344	11454
275	4357	11430
276	4373	11414
277	4384	11387
278	4398	11366
279	4414	11351
280	4433	11344
281	4448	11326
282282	4650	117283283	4675	117284284	4694	11777
285	4715	117286286	4731	117287287	4744	117288288	4759	117289289	4777	116290290	4793	116291291	4807	116292	4637	11189
293	4656	11181
294	4672	11166
295	4687	11148
296	4702	11131
297	4721	11123
298	4737	11106
299	4754	11093
300	4774	11088
301	4788	11066
302	4805	11054
303	4817	11029
304	4829	11005
305	4846	10992
306	4864	10981
307307	5067	113308308	5094	113309309	5116	113310310	5134	113311311	5153	113312312	5179	113313	4997	10919
314	5012	10900
315	5025	10877
316	5041	10861
317	5058	10847
318318	5267	112319319	5282	112320320	5300	112321321	5316	111322322	5332	11175
323	5348	111324324	5365	111325325	5379	111326326	5398	111327327	5412	110328328	5433	11081
329	5455	11076
330	5471	11059
331	5490	11046
332	5505	11028
333	5528	11023
334	5547	110335335	5567	110336336	5586	109337337	5609	109338338	5624	10967
339	5641	109340340	5658	10936
341	5677	10923
342	5696	10911
343	5719	10906
344	5736	10890
345	5754	10877
346	5774	10865
347	5795	10858
348	5809	10836
349	5825	10818
350	5847	10811
351	5863	10794
352	5881	10779
353	5897	10761
354	5916	10749
355	5936	10738
356	5954	10724
357	5969	10704
358	5981	10680
359	6001	10668
360	6011	10640
361	6030	10627
362	6044	10607
363	6057	10583
364	6080	10577
365	6099	10565
366	6110	10539
367	6128	10525
368	6147	10513
369	6165	10497
370	6182	10482
371	6200	10467
372	6215	10448
373	6233	10434
374	6247	10411
375	6266	10399
376	6283	10383
377	6300	10367
378	6319	10354
379	6332	10332
380	6348	10314
381	6370	10306
382	6384	10285
383	6405	10275
384	6421	10257
385	6437	10240
386	6457	10227
387	6472	10209
388	6487	10189
389	6507	10177
390	6525	10163
391	6542	10146
392	6562	10136
393	6578	10117
394	6590	10094
395	6607	10077
396	6623	10060
397	6642	10046
398	6661	10034
399	6672	10008
